Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3
  40, 0,22.100000000000001,45.030000000000001,21.500000000000000,43.789999999999999,22.633333333333301,45.266666666666701
 400, 0,21.133333333333301,42.533333333333303,20.390000000000001,39.500000000000000,22.230000000000000,44.990000000000002
  40, 0,20.100000000000001,35.000000000000000,16.600000000000001,40.030000000000001,20.390000000000001,37.200000000000003
 370, 0,19.166666666666700,39.060000000000002,17.566666666666698,39.229999999999997,19.763333333333300,39.293333333333301
 140, 0,20.699999999999999,40.460000000000001,20.426666666666701,38.090000000000003,20.699999999999999,38.789999999999999
  50, 0,20.289999999999999,39.899999999999999,19.500000000000000,39.060000000000002,20.600000000000001,40.363333333333301
  40, 0,22.000000000000000,43.000000000000000,21.199999999999999,41.899999999999999,22.500000000000000,43.927777777777798
  90, 0,24.789999999999999,31.649999999999999,22.789999999999999,31.140000000000001,24.000000000000000,33.126666666666701
 140,10,21.230000000000000,41.399999999999999,20.600000000000001,40.466666666666697,20.600000000000001,42.789999999999999
  50, 0,24.000000000000000,40.289999999999999,21.566666666666698,42.530000000000001,25.390000000000001,39.789999999999999
 110, 0,22.699999999999999,56.066666666666698,21.289999999999999,54.766666666666701,24.823333333333299,40.766666666666701
  60,20,20.699999999999999,38.289999999999999,19.699999999999999,38.359999999999999,20.524999999999999,41.649999999999999
  50, 0,19.600000000000001,41.200000000000003,18.230000000000000,41.530000000000001,19.789999999999999,40.700000000000003
  60,20,22.789999999999999,45.399999999999999,21.890000000000001,44.617500000000000,23.289999999999999,45.399999999999999
 100, 0,20.000000000000000,37.833333333333300,18.289999999999999,36.759999999999998,20.289999999999999,35.090000000000003
 260, 0,20.789999999999999,36.173333333333296,19.114285714285700,35.924285714285702,21.725714285714300,38.708571428571403
  50, 0,24.100000000000001,31.230000000000000,24.289999999999999,28.133333333333301,23.500000000000000,33.826666666666704
 180, 0,25.500000000000000,46.530000000000001,26.000000000000000,41.725714285714297,27.856666666666701,40.500000000000000
 540,20,21.633333333333301,42.066666666666698,20.100000000000001,38.154000000000003,20.699999999999999,37.493333333333297
  60, 0,23.356666666666701,42.229999999999997,23.140000000000001,41.076000000000001,24.100000000000001,38.817500000000003
  60,30,21.890000000000001,38.060000000000002,20.417500000000000,38.640000000000001,21.390000000000001,37.826666666666704
 100, 0,24.926666666666701,31.390000000000001,23.699999999999999,29.968571428571401,23.033333333333299,28.859999999999999
  50, 0,22.199999999999999,41.560000000000002,19.699999999999999,45.000000000000000,24.166666666666700,39.789999999999999
  80,20,21.426666666666701,38.729999999999997,19.760000000000002,39.863333333333301,20.890000000000001,38.090000000000003
  60, 0,22.890000000000001,39.229999999999997,21.000000000000000,39.060000000000002,25.000000000000000,35.590000000000003
 160, 0,24.760000000000002,41.223333333333301,23.666666666666700,39.060000000000002,25.500000000000000,38.200000000000003
  60,10,22.166666666666700,36.126666666666701,18.730000000000000,40.200000000000003,22.199999999999999,35.500000000000000
  40, 0,19.000000000000000,44.090000000000003,18.340000000000000,43.916666666666700,19.823333333333299,45.030000000000001
  50, 0,21.500000000000000,35.500000000000000,19.133333333333301,35.259999999999998,20.390000000000001,37.229999999999997
 100, 0,22.699999999999999,43.244999999999997,20.230000000000000,44.656666666666702,24.289999999999999,39.466666666666697
  60, 0,22.390000000000001,37.700000000000003,19.390000000000001,41.899999999999999,23.390000000000001,38.899999999999999
  60,20,22.600000000000001,35.933333333333302,19.600000000000001,39.060000000000002,22.289999999999999,35.399999999999999
  50,10,21.000000000000000,38.626666666666701,18.730000000000000,39.729999999999997,20.963333333333299,39.933333333333302
  70, 0,21.789999999999999,33.566666666666698,19.789999999999999,33.066666666666698,23.500000000000000,35.390000000000001
